system:index,EVI,GREEN,LST_C,NDBI,NDVI,NDWI,NIR,RED,SWIR,YEAR,latitude,longitude,.geo
667,0.25630252100840334,1668.0,29.785657730000025,0.016596003,0.039037503,-0.09776876,2029.5,1877.0,2098.0,2024,60.973823646075616,25.692401030752993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.692401030752993,60.973823646075616]}"
668,0.8072892515997403,1192.0,26.51803061000001,-0.12314144,0.24531493,-0.29913273,2209.5,1339.0,1725.0,2024,60.973823646075616,25.694287492849647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.694287492849647,60.973823646075616]}"
669,2.6122625215889466,731.0,24.257010379999997,-0.1591494,0.5467197,-0.49068105,2139.5,627.0,1552.0,2024,60.973823646075616,25.697521427872477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.697521427872477,60.973823646075616]}"
670,1.798721425803952,586.5,23.23160438000002,-0.07992062,0.4497457,-0.4368699,1496.5,568.0,1275.0,2024,60.973823646075616,25.6999468791396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.6999468791396,60.973823646075616]}"
671,2.977035490605428,408.5,23.484537860000017,-0.36662605,0.85929495,-0.76617056,3085.5,233.5,1430.0,2024,60.974093140660855,25.60104236635804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60104236635804,60.974093140660855]}"
672,2.5447543713572025,426.0,25.04828200999998,-0.33769855,0.7961576,-0.73241204,2758.0,313.0,1365.5,2024,60.974093140660855,25.6037373122104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.6037373122104,60.974093140660855]}"
673,1.9545993745282,567.0,22.88125733000001,-0.17532952,0.622104,-0.6129693,2363.0,550.5,1658.0,2024,60.974093140660855,25.60939669850035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60939669850035,60.974093140660855]}"
674,2.603259463654393,512.5,22.238669570000013,-0.3303686,0.8133082,-0.7356885,3365.5,346.5,1694.0,2024,60.974093140660855,25.611013666011765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.611013666011765,60.974093140660855]}"
675,2.7177700348432055,468.0,19.98277637000004,-0.258455,0.76417077,-0.6868518,2521.0,337.0,1485.5,2024,60.974093140660855,25.616403557716485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.616403557716485,60.974093140660855]}"
676,1.3987663280116112,766.0,21.584118740000036,-0.09651315,0.5030995,-0.5008959,2303.5,761.5,1898.0,2024,60.974093140660855,25.620715471080256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.620715471080256,60.974093140660855]}"
677,0.7005969211435753,973.5,23.889573229999996,0.09357242,0.22910959,-0.29660404,1794.5,1125.5,2165.0,2024,60.974093140660855,25.623410416932614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.623410416932614,60.974093140660855]}"
678,1.8824496506370736,632.0,22.65224999,-0.20352106,0.67671394,-0.6356299,2837.0,547.0,1877.5,2024,60.974093140660855,25.62448839527356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.62448839527356,60.974093140660855]}"
679,1.561075995884169,1058.5,21.708876470000007,-0.12357217,0.3251684,-0.34305662,2164.0,1102.0,1688.0,2024,60.974093140660855,25.626105362784973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.626105362784973,60.974093140660855]}"
680,0.8318957255127468,825.5,22.001117180000023,9.247272E-4,0.19144243,-0.24126838,1350.5,916.5,1353.0,2024,60.974093140660855,25.626644351955445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.626644351955445,60.974093140660855]}"
681,1.217572197748409,690.0,22.41127958000004,0.044509232,0.2537618,-0.28087544,1229.0,731.5,1343.5,2024,60.974093140660855,25.627183341125917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.627183341125917,60.974093140660855]}"
682,0.747844827586207,1242.0,23.395669340000012,0.023143904,0.19445223,-0.26367274,2131.5,1437.5,2232.5,2024,60.974093140660855,25.630417276148748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.630417276148748,60.974093140660855]}"
683,0.8758837391987431,1134.5,26.526575659999992,0.0611977,0.084533736,-0.11539961,1430.5,1207.5,1617.0,2024,60.974093140660855,25.637693629950117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.637693629950117,60.974093140660855]}"
684,1.1378151260504201,978.0,23.452066670000022,-0.06596142,0.24627137,-0.27313265,1713.0,1036.0,1501.0,2024,60.974093140660855,25.640388575802476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.640388575802476,60.974093140660855]}"
685,2.1172772006560963,756.5,24.571468220000042,-0.10393225,0.51410556,-0.501893,2281.0,732.0,1851.5,2024,60.974093140660855,25.643083521654834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.643083521654834,60.974093140660855]}"
686,1.7497080576099648,651.5,25.008974780000017,-0.061695278,0.51676565,-0.5046569,1979.0,630.5,1749.0,2024,60.974093140660855,25.64335301624007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.64335301624007,60.974093140660855]}"
687,-2.1910631741140216,1638.5,23.445230630000026,-0.11017051,0.18329467,-0.16689971,2295.0,1584.0,1839.5,2024,60.974093140660855,25.648742907944786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.648742907944786,60.974093140660855]}"
688,2.3312748125275693,1375.5,23.44181261,-0.045854438,0.15569304,-0.17560683,1961.5,1433.0,1789.5,2024,60.974093140660855,25.64928189711526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.64928189711526,60.974093140660855]}"
689,0.882539013074652,1002.5,22.43691473000004,0.032946046,0.1597633,-0.2048384,1519.0,1100.5,1622.5,2024,60.974093140660855,25.65628875633139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.65628875633139,60.974093140660855]}"
690,0.741899852724595,1234.0,22.597561670000033,0.008042895,0.12949872,-0.17499582,1757.5,1354.5,1786.0,2024,60.974093140660855,25.656558250916625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.656558250916625,60.974093140660855]}"
691,2.937052723820651,556.0,22.36684532000004,-0.29452604,0.7088474,-0.62684566,2424.0,413.0,1321.0,2024,60.974093140660855,25.663834604717994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.663834604717994,60.974093140660855]}"
692,2.054831412258968,680.0,26.793181220000037,-0.19830528,0.59918326,-0.57835996,2545.5,638.0,1703.0,2024,60.974093140660855,25.66599056139988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.66599056139988,60.974093140660855]}"
693,1.5218253968253967,1079.0,29.536142270000028,-0.094123006,0.46922794,-0.47120804,3002.0,1084.5,2485.5,2024,60.974093140660855,25.668146518081766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.668146518081766,60.974093140660855]}"
694,2.274193548387097,1192.5,34.59993890000001,0.052922975,0.07843501,-0.09880975,1454.0,1242.5,1616.5,2024,60.974093140660855,25.66922449642271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.66922449642271,60.974093140660855]}"
695,0.9792843691148776,1055.0,36.23204344999999,0.09608665,0.06417112,-0.101554185,1293.5,1137.5,1568.5,2024,60.974093140660855,25.671380453104597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.671380453104597,60.974093140660855]}"
696,-0.6215213358070502,716.5,35.119477940000024,0.19532639,0.021605933,-0.05004972,792.0,758.5,1176.5,2024,60.974093140660855,25.672727926030777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.672727926030777,60.974093140660855]}"
697,0.7135393342289895,1422.0,31.75614626000001,0.04507669,0.13277778,-0.17827217,2039.0,1561.0,2231.5,2024,60.974093140660855,25.674883882712663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.674883882712663,60.974093140660855]}"
698,2.2813793103448274,807.5,29.79591179000002,-0.031648558,0.33768886,-0.33960336,1638.0,811.0,1537.5,2024,60.974093140660855,25.675692366468372,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.675692366468372,60.974093140660855]}"
699,1.1850768105340161,1012.5,27.076876880000015,0.033949945,0.3431165,-0.37345296,2219.5,1085.5,2375.5,2024,60.974093140660855,25.678926301491202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.678926301491202,60.974093140660855]}"
700,2.2413793103448274,668.0,26.112995240000004,-0.008782105,0.36014298,-0.38995433,1522.0,716.0,1495.5,2024,60.974093140660855,25.681351752758324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.681351752758324,60.974093140660855]}"
701,2.698563502318158,502.0,25.236273110000013,-0.4135933,0.85874957,-0.7689032,3842.5,292.0,1594.0,2024,60.974093140660855,25.683238214854974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.683238214854974,60.974093140660855]}"
702,2.9658703071672354,455.0,25.236273110000013,-0.36892393,0.83450705,-0.7259449,2865.5,258.5,1321.0,2024,60.974093140660855,25.68350770944021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.68350770944021,60.974093140660855]}"
703,2.291908429159194,676.5,25.83442661000001,-0.24515834,0.65983295,-0.6031094,2732.5,560.0,1656.5,2024,60.974093140660855,25.684585687781155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.684585687781155,60.974093140660855]}"
704,1.0448571084046787,818.5,27.23068778000001,0.011824325,0.32778513,-0.3639013,1755.0,888.5,1797.0,2024,60.974093140660855,25.68620265529257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.68620265529257,60.974093140660855]}"
705,0.335832801531589,1120.5,30.120623690000002,0.04219345,0.07175729,-0.16768803,1572.0,1361.5,1710.5,2024,60.974093140660855,25.687280633633513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.687280633633513,60.974093140660855]}"
706,0.191014258810869,1789.5,32.45342234000003,0.05455287,0.04815736,-0.12866707,2318.0,2105.0,2585.5,2024,60.974093140660855,25.688628106559694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.688628106559694,60.974093140660855]}"
707,2.888928444286223,908.5,26.559046850000044,-0.035643864,0.31181556,-0.30529535,1707.0,895.5,1589.5,2024,60.974093140660855,25.69401799826441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.69401799826441,60.974093140660855]}"
